"Timestamp","Age","Preferred video","Preferred video","Preferred video","Preferred video","Preferred video","Preferred video","Preferred video","Preferred video"
"2019/12/12 2:59:34 PM GMT+9","22","A","B","A","B","Either","B","A","B"
"2019/12/12 2:59:49 PM GMT+9","21","B","A","A","Either","B","A","Either","A"
"2019/12/12 3:01:46 PM GMT+9","24","A","B","A","B","A","A","B","A"
"2019/12/12 3:02:13 PM GMT+9","28","B","A","B","B","Either","A","B","Either"
"2019/12/12 3:02:53 PM GMT+9","40","Either","B","B","A","B","B","A","B"
"2019/12/12 3:02:54 PM GMT+9","39","A","A","A","A","B","B","B","B"
"2019/12/12 3:04:42 PM GMT+9","37","Either","B","A","A","B","B","B","Either"
"2019/12/12 3:05:35 PM GMT+9","25","B","B","B","B","Either","Either","Either","B"
"2019/12/12 3:06:48 PM GMT+9","27","B","B","A","A","A","A","A","B"
"2019/12/12 3:06:54 PM GMT+9","29","A","B","A","A","B","A","A","B"
"2019/12/12 3:07:00 PM GMT+9","30","A","A","B","B","A","B","A","Either"
"2019/12/12 3:11:24 PM GMT+9","32","Either","A","B","B","B","A","B","A"
"2019/12/12 3:14:19 PM GMT+9","35","A","A","A","A","A","B","A","A"
"2019/12/12 3:15:42 PM GMT+9","33","A","B","B","A","B","B","B","B"
"2019/12/12 3:28:22 PM GMT+9","23","B","A","A","B","A","B","A","A"
"2019/12/12 3:30:44 PM GMT+9","25","B","A","B","A","A","A","A","B"
"2019/12/12 3:30:44 PM GMT+9","39","B","B","B","B","B","A","A","B"
"2019/12/12 3:31:56 PM GMT+9","33","B","B","A","A","B","B","A","B"
"2019/12/12 3:49:26 PM GMT+9","28","A","A","B","B","B","B","B","B"
"2019/12/12 4:36:30 PM GMT+9","31","A","A","B","Either","A","A","A","A"